swap_index,sol_in_SOL,price_per_token_SOL,retain_multiplier,total_sol_raised,total_tokens_minted,tokens_out_estimate,tokens_out_actual
66,0.006200,2.8726444129e-8,0.1501556664,0.409200,14439012000000000,215873000000000,215873000000000
67,0.006200,2.8738159144e-8,0.1502179549,0.415400,14654797000000000,215785000000000,215785000000000
68,0.006200,2.8749876547e-8,0.1502802434,0.421600,14870494000000000,215697000000000,215697000000000
69,0.006200,2.8761596338e-8,0.1503425319,0.427800,15086103000000000,215609000000000,215609000000000
70,0.006200,2.8773318517e-8,0.1504048204,0.434000,15301625000000000,215522000000000,215522000000000
71,0.006200,2.8785043085e-8,0.1504671089,0.440200,15517058000000000,215433000000000,215433000000000
72,0.006200,2.8796770041e-8,0.1505293974,0.446400,15732404000000000,215346000000000,215346000000000
73,0.006200,2.8808499385e-8,0.1505916860,0.452600,15947662000000000,215258000000000,215258000000000
74,0.006200,2.8820231117e-8,0.1506539745,0.458800,16162832000000000,215170000000000,215170000000000
75,0.006200,2.8831965238e-8,0.1507162630,0.465000,16377915000000000,215083000000000,215083000000000
76,0.006200,2.8843701747e-8,0.1507785515,0.471200,16592911000000000,214996000000000,214996000000000
77,0.006200,2.8855440645e-8,0.1508408400,0.477400,16807819000000000,214908000000000,214908000000000
78,0.006200,2.8867181930e-8,0.1509031285,0.483600,17022639000000000,214820000000000,214820000000000
79,0.006200,2.8878925604e-8,0.1509654170,0.489800,17237372000000000,214733000000000,214733000000000
80,0.006200,2.8890671666e-8,0.1510277055,0.496000,17452018000000000,214646000000000,214646000000000
81,0.006200,2.8902420117e-8,0.1510899940,0.502200,17666576000000000,214558000000000,214558000000000
82,0.006200,2.8914170956e-8,0.1511522825,0.508400,17881048000000000,214472000000000,214472000000000
83,0.006200,2.8925924183e-8,0.1512145711,0.514600,18095432000000000,214384000000000,214384000000000
84,0.006200,2.8937679798e-8,0.1512768596,0.520800,18309729000000000,214297000000000,214297000000000
85,0.006200,2.8949437801e-8,0.1513391481,0.527000,18523939000000000,214210000000000,214210000000000
86,0.006200,2.8961198193e-8,0.1514014366,0.533200,18738062000000000,214123000000000,214123000000000
